Name,ID,Year,Matches,Innings,Not Out,100s,50s,0s,High Score,Runs,Average,StrikeRate,Catch Out,Stumped,High Score Out
Aamer Hanif,2602,1993,1,1,1,0,0,0,17,17,0.0,70.83,0,0,No
Aamer Hanif,2602,1995,4,3,1,0,0,0,36,72,36.0,69.23,0,0,No
Aamer Malik,1068,1988,4,4,0,0,0,0,12,31,7.75,32.63,0,1,Yes
Aamer Malik,1068,1989,17,16,1,0,5,1,90,468,31.2,60.54,12,2,Yes
Aamer Malik,1068,1990,2,2,0,0,0,0,23,37,18.5,42.53,1,0,Yes
Aamer Malik,1068,1994,1,1,0,0,0,0,20,20,20.0,58.82,0,0,Yes
Aamer Yamin,4480,2015,3,2,1,0,1,0,62,63,63.0,91.3,0,0,Yes
Aamer Yamin,4480,2018,1,1,1,0,0,0,32,32,0.0,118.52,0,0,No
Aamir Kaleem,4465,2019,2,1,0,0,0,0,13,13,13.0,81.25,2,0,Yes
Aamir Nazir,1259,1995,3,2,1,0,0,0,9,12,12.0,63.16,0,0,No
Aamir Sohail,1653,1990,1,1,0,0,0,0,32,32,32.0,49.23,0,0,Yes
Aamir Sohail,1653,1991,4,4,0,0,1,0,91,106,26.5,58.24,2,0,Yes
Aamir Sohail,1653,1992,22,22,0,1,3,1,114,598,27.18,63.75,5,0,Yes
Aamir Sohail,1653,1993,13,13,0,0,3,0,87,409,31.46,54.03,3,0,Yes
Aamir Sohail,1653,1994,28,28,1,2,6,1,134,1053,39.0,72.57,8,0,Yes
Aamir Sohail,1653,1996,30,30,1,2,7,2,111,1090,37.59,65.5,13,0,Yes
Aamir Sohail,1653,1997,15,15,1,0,4,3,71,313,22.36,60.08,7,0,No
Aamir Sohail,1653,1998,19,19,2,0,3,1,97,566,33.29,65.36,6,0,No
Aamir Sohail,1653,1999,4,4,0,0,0,0,21,53,13.25,43.8,1,0,Yes
Aamir Sohail,1653,2000,3,3,0,0,0,0,47,76,25.33,67.26,0,0,Yes
Aarif Sheikh,4808,2018,3,3,0,0,0,1,16,19,6.33,31.67,1,0,Yes
Aarif Sheikh,4808,2019,3,3,1,0,0,0,29,75,37.5,64.66,2,0,Yes
Aarif Sheikh,4808,2020,4,3,0,0,0,0,28,36,12.0,50.7,0,0,Yes
"Aaron, V R",3916,2011,4,1,1,0,0,0,6,6,0.0,54.55,0,0,No
"Aaron, V R",3916,2014,5,2,1,0,0,1,2,2,2.0,50.0,1,0,No
"Ababu, J",2603,1999,2,1,0,0,0,0,11,11,11.0,61.11,1,0,Yes
"Ababu, J",2603,2001,1,1,0,0,0,0,17,17,17.0,58.62,0,0,Yes
"Ababu, J",2603,2006,6,3,2,0,0,0,1,1,1.0,6.25,0,0,Yes
"Abbott, K J",4002,2013,2,1,0,0,0,0,5,5,5.0,125.0,2,0,Yes
"Abbott, K J",4002,2014,7,2,0,0,0,0,23,29,14.5,74.36,0,0,Yes
"Abbott, K J",4002,2015,11,5,2,0,0,0,12,26,8.67,52.0,2,0,Yes
"Abbott, K J",4002,2016,8,5,2,0,0,1,7,16,5.33,48.48,3,0,No
"Abbott, S A",4331,2014,1,1,0,0,0,0,3,3,3.0,42.86,0,0,Yes
Abdul Jabbar,3503,2007,2,2,0,0,0,0,44,59,29.5,71.95,1,0,Yes
Abdul Qadir,1408,1983,6,5,3,0,0,1,41,62,31.0,59.05,1,0,No
Abdul Qadir,1408,1984,11,11,2,0,0,1,23,70,7.78,57.85,4,0,Yes
Abdul Qadir,1408,1985,11,4,3,0,0,0,37,62,62.0,106.9,0,0,Yes
Abdul Qadir,1408,1986,15,9,1,0,0,1,34,127,15.88,78.88,6,0,Yes
Abdul Qadir,1408,1987,19,11,5,0,0,1,39,146,24.33,102.1,3,0,Yes
Abdul Qadir,1408,1988,13,9,4,0,0,0,10,34,6.8,57.63,3,0,Yes
Abdul Qadir,1408,1989,24,15,7,0,0,2,41,130,16.25,71.43,4,0,Yes
Abdul Qadir,1408,1990,3,3,0,0,0,0,1,3,1.0,23.08,0,0,Yes
Abdul Qadir,1408,1993,2,1,1,0,0,0,7,7,0.0,100.0,0,0,No
Abdul Razzaq,2191,1998,9,8,1,0,0,2,46,93,13.29,61.59,1,0,No
Abdul Razzaq,2191,1999,18,16,4,0,4,1,60,367,30.58,55.11,2,0,Yes
Abdul Razzaq,2191,2000,38,32,8,0,3,3,75,661,27.54,79.16,4,0,No
