Name,ID,Year,Overs,Matches,Runs,Wickets,4W,Average,StrikeRate,EconomyRate
Aamer Hameed,2601,1977,7.0,1,32,1,0,32.0,56.0,3.43
Aamer Hameed,2601,1978,4.0,1,6,0,0,0.0,0.0,1.13
Aamer Hanif,2602,1993,3.4,0,27,1,0,27.0,22.0,7.36
Aamer Hanif,2602,1995,18.0,0,95,3,0,31.67,36.0,5.28
Aamer Malik,1068,1988,2.0,0,10,0,0,0.0,0.0,5.0
Aamer Malik,1068,1989,15.0,1,64,3,0,21.33,30.0,4.27
Aamer Malik,1068,1990,3.0,0,12,0,0,0.0,0.0,4.0
Aamer Yamin,4480,2015,17.0,1,89,1,0,89.0,102.0,5.24
Aamer Yamin,4480,2018,9.0,0,65,1,0,65.0,54.0,7.22
Aamir Kaleem,4465,2019,12.4,0,54,2,0,27.0,38.0,4.26
Aamir Nazir,1259,1993,47.3,1,224,7,0,32.0,40.71,4.72
Aamir Nazir,1259,1995,22.0,0,122,4,0,30.5,33.0,5.55
Aamir Sohail,1653,1991,6.0,0,34,0,0,0.0,0.0,5.67
Aamir Sohail,1653,1992,117.3,4,514,14,0,36.71,50.36,4.37
Aamir Sohail,1653,1993,71.5,2,334,9,0,37.11,47.89,4.65
Aamir Sohail,1653,1994,156.2,1,650,19,0,34.21,49.37,4.16
Aamir Sohail,1653,1995,126.3,2,547,17,1,32.18,44.65,4.32
Aamir Sohail,1653,1996,161.0,4,791,8,0,98.88,120.75,4.91
Aamir Sohail,1653,1997,62.3,2,288,4,0,72.0,93.75,4.61
Aamir Sohail,1653,1998,76.4,0,390,11,0,35.45,41.82,5.09
Aamir Sohail,1653,1999,9.4,2,41,2,0,20.5,29.0,4.24
Aamir Sohail,1653,2000,18.0,0,114,1,0,114.0,108.0,6.33
Aarif Sheikh,4808,2019,2.0,0,10,0,0,0.0,0.0,5.0
"Aaron, V R",3916,2011,28.1,1,156,6,0,26.0,28.17,5.54
"Aaron, V R",3916,2014,35.1,0,263,5,0,52.6,42.2,7.48
"Ababu, J",2603,1999,10.0,2,41,1,0,41.0,60.0,4.1
"Ababu, J",2603,2001,6.0,0,34,0,0,0.0,0.0,5.67
"Ababu, J",2603,2006,32.0,1,180,2,0,90.0,96.0,5.63
"Abbott, K J",4002,2013,14.2,0,66,1,0,66.0,86.0,4.6
"Abbott, K J",4002,2014,48.0,5,205,4,0,51.25,72.0,4.27
"Abbott, K J",4002,2015,79.5,2,423,14,1,30.21,34.21,5.3
"Abbott, K J",4002,2016,75.0,6,357,15,1,23.8,30.0,4.76
"Abbott, S A",4331,2014,5.0,0,25,1,0,25.0,30.0,5.0
Abdul Qadir,1408,1983,67.4,6,264,12,2,22.0,33.83,3.9
Abdul Qadir,1408,1984,103.0,14,383,18,1,21.28,34.33,3.72
Abdul Qadir,1408,1985,80.3,8,306,11,1,27.82,43.91,3.8
Abdul Qadir,1408,1986,124.2,11,447,24,1,18.63,31.08,3.6
Abdul Qadir,1408,1987,166.5,7,691,32,1,21.59,31.28,4.14
Abdul Qadir,1408,1988,110.0,4,483,13,0,37.15,50.77,4.39
Abdul Qadir,1408,1989,161.2,4,711,21,0,33.86,46.1,4.41
Abdul Qadir,1408,1990,19.0,0,91,0,0,0.0,0.0,4.79
Abdul Qadir,1408,1993,17.2,0,78,1,0,78.0,104.0,4.5
Abdul Razzaq,2191,1996,12.3,1,53,3,0,17.67,25.0,4.24
Abdul Razzaq,2191,1997,12.0,0,86,1,0,86.0,72.0,7.17
Abdul Razzaq,2191,1998,58.1,1,296,8,0,37.0,43.63,5.09
Abdul Razzaq,2191,1999,140.3,13,538,27,1,19.93,31.22,3.83
Abdul Razzaq,2191,2000,314.5,22,1370,61,4,22.46,30.97,4.35
Abdul Razzaq,2191,2001,153.0,8,709,20,0,35.45,45.9,4.63
Abdul Razzaq,2191,2002,198.4,15,876,33,2,26.55,36.12,4.41
